algorithm,array_type,size,avg_time_ms,avg_comparisons
Standard Quicksort,random,100,0.2004,703
Standard Mergesort,random,100,0.4006,541
String Quicksort,random,100,0.4008,822
String Mergesort,random,100,0.5004,541
MSD Radixsort,random,100,0.2028,0
MSD Radixsort (with switch),random,100,0,115
Standard Quicksort,reverse sorted,100,0.3994,4950
Standard Mergesort,reverse sorted,100,0.3996,316
String Quicksort,reverse sorted,100,0.2014,988
String Mergesort,reverse sorted,100,0.398,316
MSD Radixsort,reverse sorted,100,0.4004,0
MSD Radixsort (with switch),reverse sorted,100,0.2012,684
Standard Quicksort,almost sorted,100,0.2016,4776
Standard Mergesort,almost sorted,100,0.5974,357
String Quicksort,almost sorted,100,0,1021
String Mergesort,almost sorted,100,0.602,377
MSD Radixsort,almost sorted,100,0.2032,0
MSD Radixsort (with switch),almost sorted,100,0.1994,1359
Standard Quicksort,random,200,0.2004,1626
Standard Mergesort,random,200,0.9994,1279
String Quicksort,random,200,0,1879
String Mergesort,random,200,0.7998,1278
MSD Radixsort,random,200,0.6,0
MSD Radixsort (with switch),random,200,0.2,337
Standard Quicksort,reverse sorted,200,1.0002,19900
Standard Mergesort,reverse sorted,200,0.7998,732
String Quicksort,reverse sorted,200,0,2296
String Mergesort,reverse sorted,200,0.7974,732
MSD Radixsort,reverse sorted,200,0.6018,0
MSD Radixsort (with switch),reverse sorted,200,0.1984,1497
Standard Quicksort,almost sorted,200,0.8,18807
Standard Mergesort,almost sorted,200,0.7998,816
String Quicksort,almost sorted,200,0.2002,2173
String Mergesort,almost sorted,200,0.7998,882
MSD Radixsort,almost sorted,200,0.6006,0
MSD Radixsort (with switch),almost sorted,200,0.2022,3051
Standard Quicksort,random,300,0,2345
Standard Mergesort,random,300,1.4,2102
String Quicksort,random,300,0.3998,3133
String Mergesort,random,300,0.7988,2100
MSD Radixsort,random,300,0.6,0
MSD Radixsort (with switch),random,300,0.4002,693
Standard Quicksort,reverse sorted,300,1.6034,44850
Standard Mergesort,reverse sorted,300,1.5986,1180
String Quicksort,reverse sorted,300,0.6002,3782
String Mergesort,reverse sorted,300,1.0006,1180
